100_001|Главная|Hauptseite
138_005|Смешное в человеческих отношениях оказывается уместным в технике. Допустим, нам нужно забить гвоздь, какой ресурс использовать? Объектный подход толкает на поиск некоего «ударника», а какой там ударник, когда в ресурсах у нас вода, монетка да бумажный стаканчик? Атрибутный же подход советует другое.|Das Komische an den menschlichen Beziehungen ist technisch angemessen. Angenommen, wir müssen einen Nagel hämmern, welche Ressource sollten wir verwenden? Der Objektansatz treibt uns dazu, nach einem bestimmten „Schlagzeuger“ zu suchen, und welche Art von Schlagzeuger gibt es, wenn wir Wasser, eine Münze und einen Pappbecher in unseren Ressourcen haben ? Der Attributansatz rät zu etwas anderem. 
138_006|Какая нам нужна поверхность? - Твердая.|Welche Oberfläche brauchen wir? - Solid.
138_007|А внутренняя структура? - Прочная.|Und die interne Struktur? - Stark.
138_008|А форма? - Ну, чтобы в руку взять.|Und das Formular? - Nun, um es in die Hand zu nehmen.
138_009|Динамичность какой должна быть? - Чтобы можно было поднять и с силой опустить.|Wie dynamisch soll es sein? - Damit Sie es mit Gewalt heben und senken können.
138_010|И как нам такое описанное сделать из воды, монетки и стаканчика? - Налить воду в стаканчик, положить на дно монетку и заморозить.|Und wie können wir so etwas aus Wasser, einer Münze und einem Glas machen? - Wasser in ein Glas gießen, eine Münze auf den Boden legen und einfrieren.
138_012|Где искать ресурс|Wo nach einer Ressource suchen
138_013|Основа для поиска ресурса – список доступных ресурсов. Если там искомый ресурс не найден, то нужно задействовать знания об улучшаемой машине, окружающей её предметной обстановке, информацию о новых технологиях и научных разработках.|Die Grundlage für die Suche nach einer Ressource ist eine Liste der verfügbaren Ressourcen. Wenn die nicht gefundene Ressource benötigt wird, müssen Sie das Wissen über die zu verbessernde Maschine, ihre Fachumgebung, Informationen über neue Technologien und wissenschaftliche Entwicklungen nutzen.
138_014|Поиск ресурса для решения целесообразно вести в определённой последовательности, постепенно расширяя область поиска (рис.1). Начинать нужно с оперативной зоны, ведь чем ближе к оперативной зоне найдётся требуемый ресурс, тем ближе к идеальному будет решение.|Es ist ratsam, nach einer Ressource für eine Lösung in einer bestimmten Reihenfolge zu suchen und den Suchbereich schrittweise zu erweitern (Abb. 1). Sie müssen ausgehend von der Betriebszone beginnen, da die Lösung umso idealer ist, je näher die erforderliche Ressource an der Betriebszone liegt.
138_015|Для поиска ресурса нужно последовательно проанализировать:|Um nach einer Ressource zu suchen, müssen Sie sie nacheinander analysieren:
138_016|Может ли инструмент оперативной зоны быть требуемым ресурсом?|Kann ein Betriebszonen-Tool eine erforderliche Ressource sein?
138_017|Может ли обрабатываемый объект оперативной зоны быть требуемым ресурсом? При этом учитывать, нет ли запретов на его преобразования.|Kann das bearbeitete Zonenobjekt die erforderliche Ressource sein? Berücksichtigen Sie, ob die Konvertierung Einschränkungen unterliegt.
138_018|Может ли какой-то из компонентов полезной системы быть требуемым ресурсом? Начинать анализ с компонентов, соседних с оперативной зоной.|Könnte eine der Komponenten eines nützlichen Systems eine erforderliche Ressource sein? Beginnen Sie die Analyse mit Komponenten, die sich neben dem Betriebsbereich befinden.
138_019|Подойдут ли в качестве требуемого ресурса легкодоступные компоненты надсистем?|Sind leicht zugängliche Komponenten von Supersystemen als erforderliche Ressource geeignet?
138_020|Можно ли использовать для решения задачи прочие компоненты надсистем, включая компоненты машины и внешней среды?|Ist es möglich, andere Komponenten von Supersystemen, einschließlich Maschinenkomponenten und der externen Umgebung, zu verwenden, um das Problem zu lösen?
138_021|Компоненты внешней среды|Umweltkomponenten
138_022|Компоненты машины|Maschinenkomponenten
138_023|Легкодоступные ресурсы надсистемы|Leicht verfügbare Supersystemressourcen
138_024|Компоненты системы|Systemkomponenten
138_025|Компоненты системы, соседние с оперативной зоной|Systemkomponenten im Umfeld des Betriebsbereichs
138_026|Оперативная зона|Betriebszone
138_027|Обрабатываемый объект|Verarbeitetes Objekt
138_028|Инструмент|Tool
138_029|Расширение области поиска ресурса|Erweitern des Ressourcensuchbereichs
138_030|Последовательность поиска ресурса|Ressourcensuchfolge
138_033|Ресурсы оперативной зоны|Betriebsmittel
138_034|При эффективном использовании ресурсов оперативной зоны мы получаем возможность решить задачу с высокой степенью идеальности. В качестве ресурса может быть использован как инструмент, так и обрабатываемый объект.|Durch die effiziente Nutzung der Ressourcen der Einsatzzone haben wir die Möglichkeit, das Problem mit einem hohen Maß an Idealität zu lösen. Sowohl das Werkzeug als auch das bearbeitete Objekt können als Ressource verwendet werden.
138_035|Пример. Ресурс инструмента для полировки линз|Beispiel. Ressource des Linsenpolierwerkzeugs
138_036|При полировке больших стеклянных линз для оптических приборов важно не перегреть их поверхность. Для этого требуется постоянно подавать охлаждающую жидкость – воду – под полирующий инструмент. Если выполнить в полирующем инструменте поры для подачи воды, то свойства его поверхности не будут отвечать технологическим требованиям.|Beim Polieren von großen Glaslinsen für optische Werkzeuge ist es wichtig, deren Oberfläche nicht zu überhitzen. Dazu muss unter dem Polierwerkzeug ständig Kühlwasser zugeführt werden. Werden im Polierwerkzeug Poren zur Wasserversorgung verwendet, entsprechen die Oberflächeneigenschaften nicht den technologischen Gegebenheiten Anforderungen. 
138_037|Для охлаждения зоны обработки используют ресурс инструмента – выполняют его изо льда. В лёд вморожены абразивные частицы. При трении лед равномерно нагревается и подтаивает, и поверхность линзы эффективно охлаждается.|Zum Kühlen der Behandlungszone wird die Ressource des Werkzeugs verwendet - sie wird aus Eis hergestellt. Schleifpartikel werden zu Eis gefroren. Während der Reibung erwärmt und taut das Eis gleichmäßig und die Linsenoberfläche kühlt sich effizient ab.
138_038|Полирующий инструмент|Polierwerkzeug
138_039|Линза|Lens
138_040|Перегрев поверхности|Oberflächenüberhitzung
138_041|Полирующий инструмент из льда|Ice Polisher
138_042|Проблема с охлаждением линзы |Linsenkühlungsproblem
138_044|Пример. Ресурс обрабатываемого объекта, используемый при восстановлении зубчатых колёс|Beispiel. Ressource des bearbeiteten Objekts, die beim Wiederherstellen von Zahnrädern verwendet wird
138_045|Для восстановления быстроизнашиваемых деталей, к примеру, венцов больших зубчатых колёс используют материал самих колёс. Венец колеса сдавливается так, чтобы металл деформировался и выдавился в зубья. Такое перераспределение материала дает возможность восстанавить первоначальные размеры зубьев. Затем зубья колёс обрабатывают начисто.|Zur Wiederherstellung von Verschleißteilen, z. B. von Felgen großer Zahnräder, wird das Material der Räder selbst verwendet. Die Felge wird zusammengedrückt, so dass sich das Metall verformt und in die Zähne hinein extrudiert. Durch diese Umverteilung des Materials kann die ursprüngliche Größe der Zähne wiederhergestellt werden. Anschließend werden die Zähne der Räder gereinigt. 
138_047|Восстановление зубчатых колес|Gear Recovery
138_049|Ресурсы системы|System Resources
138_050|Если в оперативной зоне ресурсов не найдено, их следует искать среди других компонентов полезной системы. Нужно обращать внимание на ресурсы, которые присутствуют в избыточном количестве. Особое внимание – к энергетическим ресурсам, которые бесполезно расходуются.|Wenn in der Betriebszone keine Ressourcen gefunden werden, sollten sie unter anderen Komponenten eines nützlichen Systems gesucht werden. Achten Sie auf Ressourcen, die übermäßig vorhanden sind. Besonderes Augenmerk wird auf Energiequellen gelegt, die unnötig verbraucht werden.
138_051|Пример. Ресурсы системы, используемые для включения противоугонного устройства|Beispiel. Systemressourcen, die zum Aktivieren eines Diebstahlschutzgeräts verwendet werden
138_052|Выхлопные газы автомобиля несут неиспользованную тепловую и механическую энергию. Общеизвестно их применение для отопления кабины или для привода турбокомпрессора двигателя. Одно из неочевидных применений выхлопных газов – противоугонное устройство. В выхлопную трубу вставляется сирена с крыльчаткой. Она приводится в действие потоком газа. Если теперь завести автомобиль, раздается сильный рев, сигнализирующий о попытке угона.|Autoabgase transportieren ungenutzte thermische und mechanische Energie. Sie sind bekannt dafür, eine Kabine zu heizen oder einen Turbolader für einen Motor anzutreiben. Eine der nicht naheliegenden Anwendungen von Abgasen ist eine Diebstahlsicherung. Eine Sirene mit einem Laufrad wird in das Abgasrohr eingeführt. Sie wird von einem Gasstrom angetrieben Wenn Sie jetzt das Auto starten, ertönt ein starkes Brüllen, das einen Diebstahlversuch signalisiert. 
138_053|Противоугонная сирена|Anti-Theft Siren
138_055|Легкодоступные ресурсы|Leicht zugängliche Ressourcen
138_056|Применение легкодоступных ресурсов – один из эффективных путей решения задачи. Легкодоступные ресурсы бывают двух видов: природные и технические.|Die Verwendung sofort verfügbarer Ressourcen ist eine der effektivsten Möglichkeiten, um das Problem zu lösen. Es gibt zwei Arten sofort verfügbarer Ressourcen: natürliche und technische.
138_057|Природные ресурсы – это вода, воздух, песок, лёд, камни, грунт, сила ветра, суточные колебания температур и атмосферного давления, морские приливы и отливы и т.п. Получение и использование таких ресурсов часто не требует больших расходов, а их количество – условно неограниченно.|Natürliche Ressourcen sind Wasser, Luft, Sand, Eis, Steine, Boden, Windkraft, tägliche Temperatur- und Luftdruckschwankungen, Gezeiten usw. Solche Ressourcen zu beschaffen und zu nutzen kostet oft nicht viel. und ihre Anzahl ist willkürlich unbegrenzt. 
138_058|Применение легкодоступных технических ресурсов может принести двойную выгоду. Часто такие ресурсы можно найти в отходах производства. На их утилизацию нужно затратить немалые средства. Если же использовать их для решения задачи, то одновременно можно сэкономить на утилизации.|Die Verwendung sofort verfügbarer technischer Ressourcen kann doppelten Nutzen bringen. Oft sind diese Ressourcen in Produktionsabfällen enthalten. Sie müssen beträchtliche Ressourcen für ihre Entsorgung aufwenden. Wenn Sie sie zur Lösung des Problems verwenden, können Sie gleichzeitig Entsorgung einsparen.
138_059|Пример. Отходы как легкодоступные ресурсы|Beispiel. Verschwenden Sie so leicht zugängliche Ressourcen
138_060|Для улучшения качества бетона широко применяются отходы разных производств. Например, для повышения морозостойкости к бетонной смеси добавляются отходы алюминиевого производства.|Abfälle aus verschiedenen Branchen werden häufig zur Verbesserung der Betonqualität verwendet. Beispielsweise wird der Betonmischung Aluminiumabfall zugesetzt, um die Frostbeständigkeit zu erhöhen.
138_061|Отслужившие автомобильные покрышки могут использоваться для решения различных задач. Измельчённые покрышки добавляют в асфальтовое покрытие для повышения упругости и износостойкости. Из них создают упругие подпорные стенки. И даже используют для создания произведений искусства.|Mit gebrauchten Autoreifen können verschiedene Probleme gelöst werden. Dem Asphalt werden gemahlene Reifen zugesetzt, um die Elastizität und Verschleißfestigkeit zu erhöhen. Sie bilden elastische Stützmauern. Und sogar, um Kunstwerke zu schaffen.
138_063|Преобразование ресурса|Resource Conversion
138_064|Редко бывает, чтобы найденный ресурс полностью соответствовал сформулированным требованиям. В этом случае, нужно удовлетворить те требования к ресурсу, которые не удовлетворены исходным состоянием компонента.|Es ist selten, dass eine gefundene Ressource die angegebenen Anforderungen vollständig erfüllt. In diesem Fall müssen Sie die Ressourcenanforderungen erfüllen, die mit dem Ausgangszustand der Komponente nicht erfüllt sind.
138_065|Для этого компонент нужно преобразовать. Это в большой степени касается ресурсов оперативной зоны. Дело в том, что характеристики компонентов оперативной зоны уже довольно жестко определены. Взять компонент оперативной зоны в том состоянии, в каком он есть, часто бывает невозможно. Надо понять, как изменить эти компоненты, чтобы удовлетворить требованиям к ресурсу.|Dazu muss die Komponente transformiert werden. Dies hängt weitgehend mit den Ressourcen der Betriebszone zusammen. Tatsache ist, dass die Eigenschaften der Komponenten der Betriebszone bereits ziemlich genau definiert sind. Es ist häufig unmöglich, die Komponente der Betriebszone in dem Zustand zu übernehmen, in dem sie sich befindet. Sie müssen wissen, wie Sie diese Komponenten ändern, um die Ressourcenanforderungen zu erfüllen. 
138_066|При этом можно изменять форму компонента, состояние его внутренней структуры и поверхности. Могут быть изменены размеры компонента, скорость его движения, могут вводиться различные дополнительные поля: тепловое, электрическое, звуковое и другие, согласно классификатору МАТХЭМ.|In diesem Fall können Sie die Form des Bauteils, den Zustand seiner inneren Struktur und Oberfläche ändern. Die Abmessungen des Bauteils, seine Geschwindigkeit und verschiedene zusätzliche Felder können je nach MATHEM-Klassifikator hinzugefügt werden: thermisch, elektrisch, akustisch und andere.
138_068|О работе с ТРИЗ-тренером|Über die Arbeit mit dem TRIZ-Trainer
138_069|На входе этого шага мы описание неизвестного нам ресурса, позволяющего перевести модель решения задачи в конкретное ее решение.  Выход этого шага – найденный ресурс, и понимание того, как наиболее эффективно встроить его в систему.|Bei der Eingabe dieses Schritts beschreiben wir eine uns unbekannte Ressource, die es uns ermöglicht, das Modell zur Lösung des Problems in seine spezifische Lösung zu übersetzen. Die Ausgabe dieses Schritts ist die gefundene Ressource und ein Verständnis dafür, wie sie am effektivsten in das System integriert werden kann.
138_070|Рекомендация здесь простая – старайтесь найти необходимый ресурс в пределах оперативной зоны, ибо каждое отступление от оперативной зоны снижает степень идеальности получаемого решения.|Die Empfehlung hier ist einfach - versuchen Sie, die erforderliche Ressource innerhalb der Betriebszone zu finden, da jede Abweichung von der Betriebszone den Grad der Idealität der resultierenden Lösung verringert.
138_072|Сквозной пример. Коробка для пиццы|Komplexes Beispiel. Die Pizza-Box
138_073|Роль ресурса в системе: рабочий орган, который непосредственно взаимодействует с обрабатываемым объектом.|Die Rolle der Ressource im System: der Arbeitskörper, der direkt mit dem verarbeiteten Objekt interagiert.
138_074|Что, где и когда должен делать ресурс:|Was, wo und wann soll die Ressource tun:
138_075|Удерживать пиццу в коробке всё время хранения.|Bewahre die ganze Zeit Pizza in einer Schachtel auf.
138_076|Не допускать внешних загрязнений пиццы.|Vermeiden Sie eine Kontamination der Pizza von außen.
138_077|Взаимодействовать с дном пиццей только в отдельных местах.|Interagiere nur an bestimmten Stellen mit dem Boden der Pizza.
138_078|В местах взаимодействия с пиццей не впитывать влагу.|Nehmen Sie keine Feuchtigkeit an Orten auf, an denen Pizza in Wechselwirkung tritt.
138_079|В других местах впитывать лишнюю влагу.|Absorbiere überschüssige Feuchtigkeit an anderen Stellen.
138_080|Требуемые свойства ресурса:|Erforderliche Ressourceneigenschaften:
138_081|Быть достаточно прочным для удержания пиццы.|Sei stark genug, um Pizza aufzunehmen.
138_082|Быть условно герметичным.|Bedingt luftdicht sein.
138_083|Иметь выступы на поверхности.|Vorsprünge auf der Oberfläche haben.
138_084|Выступы должны быть покрыты влагоизолирующим материалом.|Die Vorsprünge müssen mit einem feuchtigkeitsbeständigen Material beschichtet sein.
138_085|Впадины должны не иметь влагоизоляции и впитывать влагу.|Depressionen sollten nicht wasserdicht sein und Feuchtigkeit aufnehmen.
138_086|Рассмотрим предварительный список ресурсов: |Betrachten Sie eine vorläufige Liste der Ressourcen:
138_087|пицца, |Pizza
138_088|дно коробки|bottom of the box
138_089|стенки коробки|box walls
138_090|крышка|cover
138_091|Исходя из сформулированных требований, наиболее подходящий ресурс: дно коробки, поскольку оно располагается в оперативной зоне, и удовлетворяет большинству выдвинутых требований.|Basierend auf den formulierten Anforderungen die am besten geeignete Ressource: der Boden des Kastens, da er sich im Betriebsbereich befindet und die meisten der gestellten Anforderungen erfüllt.
138_092|Для соблюдения остальных требований, дно коробки необходимо преобразовать, а именно, отформовать на нем точечные выступы, а вершины этих выступов покрыть влагоизолирующим материалом.|Um die restlichen Anforderungen zu erfüllen, muss der Boden des Kastens umgeformt werden, dh es werden Punktvorsprünge darauf gebildet, und die Oberseiten dieser Vorsprünge sind mit einem feuchtigkeitsisolierenden Material beschichtet.
139_001|Идеальный конечный результат|Perfekte Endergebnisse
139_002|Основное правило ТРИЗ – расходы на реализацию идеи решения задачи должны быть минимальными.|Die Hauptregel der TRIZ lautet, dass die Kosten für die Umsetzung der Idee zur Lösung des Problems minimal sein sollten.
139_003|Для удовлетворения этого требования применяется такое понятие, как идеальный конечный результат (ИКР). Понятие ИКР ставит сильное ограничение на средства, которыми мы можем достичь цели решения задачи. Она должна быть достигнута только теми ресурсами, которые есть в системе, вводить что-то извне очень нежелательно. По сути дела, ИКР – это ориентир для направления решения, но практика показывает, что эффективность применения этого инструмента можно существенно повысить.|Um diese Anforderung zu erfüllen, wird das Konzept eines idealen Endergebnisses (RBI) verwendet. Das Konzept des RBI schränkt die Mittel, mit denen wir das Ziel der Problemlösung erreichen können, stark ein. Es sollte nur durch die im System vorhandenen Ressourcen erreicht werden etwas von außen ist sehr unerwünscht. Tatsächlich ist RBI eine Richtlinie für die Richtung der Lösung, aber die Praxis zeigt, dass die Wirksamkeit dieses Tools erheblich gesteigert werden kann. 
139_004|Целью решения задачи может быть устранение вредного явления в системе или получение нового полезного эффекта. Здесь можно говорить о желаемом результате, который мы должны получить, решив нашу задачу. То есть нужно определить, что именно требуется сделать, чтобы устранить проблему.|Das Ziel der Problemlösung kann darin bestehen, ein schädliches Phänomen im System zu beseitigen oder einen neuen vorteilhaften Effekt zu erzielen. Hier können wir über das gewünschte Ergebnis sprechen, das wir durch die Lösung unseres Problems erzielen sollten. Das heißt, wir müssen bestimmen, was getan werden muss, um das Problem zu beheben. 
139_005|Получить желаемый результат можно по-разному. Понятие ИКР предписывает, что добиться желаемого результата нужно с наименьшими затратами. В идеале – вообще без каких-либо затрат, то есть, без введения дополнительных компонентов, подсистем со специальными функциями, то есть, необходимо использовать идеальную систему.|Sie können das gewünschte Ergebnis auf unterschiedliche Weise erzielen. Das Konzept der RBI erfordert, dass Sie das gewünschte Ergebnis zu den niedrigsten Kosten erzielen. Idealerweise ohne Kosten, dh ohne Einführung zusätzlicher Komponenten, Subsysteme mit speziellen Funktionen, das heißt , Sie müssen das perfekte System verwenden. 
139_006|Классический ТРИЗ использует следующую максиму:|Classic TRIZ verwendet die folgende Maxime:
139_007|Идеальная система – это та система, которой нет, но функция ее выполняется.|Ein ideales System existiert nicht, aber seine Funktion wird ausgeführt.
139_008|Понятно, что так не бывает никогда, всегда существуют факторы расплаты. Корректирующая система может отсутствовать на уроне улучшаемой системы, но тогда ее функция должна выполняться в надсистеме. С учетом этого, идеальной можно считать систему, польза от которой неизмеримо выше, чем затраты на ее функционирование.|Es ist klar, dass dies niemals geschieht, es gibt immer Abrechnungsfaktoren. Das Korrektursystem kann fehlen, wenn der Schaden des Systems verbessert wird, aber dann sollte seine Funktion im Supersystem ausgeführt werden. Vor diesem Hintergrund kann das System als ideal angesehen werden, dessen Nutzen unermesslich höher ist. als die Kosten für seine Funktionsweise. 
139_009|Формулировка ИКР может быть представлена следующим образом:|Der Wortlaut der RBI kann wie folgt dargestellt werden:
139_010|Идеальный конечный результат – это решение задачи таким способом, чтобы получить желаемый результат при помощи идеальной системы.|Das ideale Endergebnis besteht darin, das Problem so zu lösen, dass mit dem idealen System das gewünschte Ergebnis erzielt wird.
139_011|Исходя их этого определения задача решается как бы в два этапа:|Basierend auf dieser Definition wird das Problem in zwei Schritten gelöst:
139_012|1. Определение желаемого результата.|1. Ermitteln des gewünschten Ergebnisses.
139_013|2. Построение системы максимально близкой к идеальной.|2. Ein System bauen, das dem Ideal so nahe wie möglich kommt.
139_014|Исходя из этого, решение задачи выполняется в два действия:|Auf dieser Grundlage wird die Lösung des Problems in zwei Schritten durchgeführt:
139_015|1. Первое – это определение желаемого результата, который нужно получить (снизить температуру, повысить прочность, уменьшить паразитные шумы, ускорить прохождение документации и т.п.). Этим мы занимаемся весь процесс решения, используя разные модели и постоянно уточняя желаемый результат.|1. Das erste ist die Bestimmung des gewünschten Ergebnisses (Temperatur senken, Festigkeit erhöhen, Störgeräusche reduzieren, Dokumentation beschleunigen usw.). Wir führen diesen gesamten Lösungsprozess mit verschiedenen Modellen durch und aktualisieren ihn ständig gewünschtes Ergebnis. 
139_016|2. Второе – это построение системы, которая поможет добиться желаемого результата (поставить более мощный охладитель, изменить форму компонента, установить фильтр, применить звукоизоляцию, перейти на электронную систему работы с документами и т.п.). Для построения системы нам необходимо определить ресурсы, которые можно применить для достижения желаемого результата.|2. Der zweite Schritt besteht darin, ein System zu erstellen, mit dem das gewünschte Ergebnis erzielt werden kann (einen stärkeren Kühler einsetzen, die Form der Komponente ändern, einen Filter installieren, Schallschutz anwenden, auf ein elektronisches System für die Arbeit mit Dokumenten umstellen usw.) Wir müssen die Ressourcen identifizieren, die verwendet werden können, um das gewünschte Ergebnis zu erzielen. 
139_017|Двухступенчатый подход гораздо лучше оптимизирует затраты умственного труда, как если бы мы сразу искали решение задачи, работая сразу с двумя неизвестными: желаемым результатом и системой. Определив одну неизвестную, мы резко упрощаем уравнение, которое нужно решить. Мало того, часто бывает, что определение желаемого результата практически полностью дает решение задачи, нужные ресурсы становятся очевидными.|Mit dem zweistufigen Ansatz lassen sich die Kosten der mentalen Arbeit viel besser optimieren, als würden wir sofort nach einer Lösung für das Problem suchen und sofort mit zwei Unbekannten arbeiten: dem gewünschten Ergebnis und dem System. Nachdem wir ein Unbekanntes definiert haben, vereinfachen wir die Gleichung, die gelöst werden muss, drastisch. Außerdem häufig es kommt vor, dass die Ermittlung des gewünschten Ergebnisses eine fast vollständige Lösung des Problems ergibt, die erforderlichen Ressourcen werden offensichtlich. 
139_018|Еще одна полезная особенность двухступенчатого подхода – это возможность получения решения за несколько итераций. Сразу найти идеальную систему весьма нелегко, поэтому лучше использовать своеобразный «метод пристрелки». Суть метода заключается в том, что сначала нужно найти, как можно получить желаемый результат при помощи любой системы, совершенно не задумываясь о том, идеальна она или не очень. Система может быть сложной, затратной, дорогой, даже фантастической – это неважно. Важно, чтобы она позволяла получить нужный результат. А затем, с учетом наработанной информации и лучшего понимания того, какая именно система нужна, процесс решения повторяется несколько раз. При этом нужно внимательно следить за тем, чтобы: а) не потерять из «прицела» желаемый результат, б) каждая новая система была идеальнее предыдущей.|Ein weiteres nützliches Merkmal des zweistufigen Ansatzes ist die Möglichkeit, eine Lösung in mehreren Iterationen zu erhalten. Es ist nicht einfach, das ideale System auf Anhieb zu finden. Daher ist es besser, eine Art „Aufnahmemethode“ zu verwenden. Das Wesentliche dieser Methode ist, zunächst zu ermitteln, wie Sie das bekommen, was Sie wollen Das Ergebnis kann mit jedem System erzielt werden, ohne darüber nachzudenken, ob es ideal ist oder nicht. Das System kann komplex, kostspielig, teuer oder sogar fantastisch sein - es spielt keine Rolle. Es ist wichtig, dass Sie das gewünschte Ergebnis erzielen. Unter Berücksichtigung der gesammelten Informationen und eines besseren Verständnisses, welches System genau benötigt wird, wird der Entscheidungsprozess mehrmals wiederholt, und es muss darauf geachtet werden, dass: a) das gewünschte Ergebnis aus der Sicht nicht verloren geht, b) jedes neue System idealer war vorherige. 
139_020|Задача|Task
139_021|Решение 2/3/1|Entscheidung 2/3/1
139_022|Идеальное решение|Perfekte Lösung
139_023|Решение, близкое к идеальному|Lösung fast perfekt
139_025|«Пристрелочный» способ поиска наилучшего решения|Targeting: Weg, um die beste Lösung zu finden
139_028|Каждый новый «выстрел» приближает нас к сильному решению, позволяет сузить поле поиска. Постепенно накапливается информация об условиях задачи, ресурсах, о проблемной ситуации в целом. По ходу решения задачи ужесточаются требования к идеальности системы, нарастает острота разрешаемых противоречий. Соответственно, для разрешения этих противоречий применяются всё более мощные инструменты ТРИЗ.|Jeder neue „Schuss“ bringt uns einer starken Lösung näher, ermöglicht es uns, das Suchfeld einzugrenzen. Informationen über die Bedingungen des Problems, Ressourcen und die Problemsituation als Ganzes häufen sich allmählich. Im Laufe der Problemlösung werden die Anforderungen an die Idealität des Systems strenger und die Schärfe der aufgelösten Widersprüche steigt. Dementsprechend werden immer leistungsfähigere TRIZ-Tools eingesetzt, um diese Widersprüche zu lösen. 
139_029|Приведем несколько примеров задач, решенных с высокой степенью идеальности.|Hier einige Beispiele für Aufgaben, die mit einem hohen Maß an Idealität gelöst wurden.
139_030|Пример. Шина, не боящаяся проколов|Beispiel. Ein Reifen, der keine Pannen befürchtet
139_031|Прокол автомобильного колеса чреват аварией, поэтому важно не допустить утечки воздуха из шины. ИКР: «шина и воздух сами не допускают утечки воздуха при проколе». Для этого внутрь шины помещают некоторое количество клея. При проколе клей с выходящим воздухом заполняет пробоину и закрывает ее.|Ein Reifenschaden ist mit einem Unfall behaftet, daher ist es wichtig, Luftaustritt aus dem Reifen zu vermeiden. IER: „Der Reifen und die Luft selbst lassen beim Reifenschaden keine Luft austreten”. Geben Sie dazu etwas Klebstoff in den Reifen. Wenn der Reifen beschädigt ist, füllt sich der Klebstoff mit der austretenden Luft und schließt das Loch. 
139_033|Пример. Контроль качества разливки шампуня|Beispiel. Qualitätskontrolle der Shampoofüllung
139_034|При разливке шампуня в пластиковые бутылки возникла следующая проблема: разливочное устройство пропускало некоторые бутылки, вообще не заполняя их. Приходилось вручную проверять заполнение бутылок.|Beim Einfüllen von Shampoo in Plastikflaschen ist folgendes Problem aufgetreten: Die Abfüllvorrichtung hat einige Flaschen passiert, ohne sie überhaupt zu füllen. Ich musste die Abfüllung der Flaschen manuell überprüfen.
139_035|Руководство завода собиралось купить дорогостоящего робота, который мог определять пустую бутылку в ящике и отправлять ее в брак. Однако рабочий, который должен был искать пустые бутылки в ящике, принес из дома обычный бытовой вентилятор и установил его около транспортера. Недорогой вентилятор сдувал легкие пустые бутылки с транспортера, а на упаковку подавались только заполненные. Получился такой «идеальный робот».|Die Fabrikleitung wollte einen teuren Roboter kaufen, der eine leere Flasche in einer Schachtel identifizieren und zur Ehe schicken konnte. Ein Arbeiter, der nach leeren Flaschen in einer Schachtel suchen sollte, brachte jedoch einen normalen Haushaltsventilator aus dem Haus und stellte ihn in der Nähe des Förderers auf. Der billige Ventilator blies leichte leere Flaschen vom Förderband, und nur gefüllte Flaschen wurden an die Verpackung geliefert. Es stellte sich heraus, dass es sich um einen solchen „perfekten Roboter“ handelte.
139_037|О работе с ТРИЗ-тренером|Über die Arbeit mit dem TRIZ-Trainer
139_038|Понятие Идеального Конечного Результата необходимо учитывать при поиске ресурсов. Для достижения желаемого результата следует выбирать самый подходящий ресурс, который находится в оперативной зоне и не требует больших преобразований.|Das Konzept des idealen Endergebnisses muss bei der Suche nach Ressourcen berücksichtigt werden. Um das gewünschte Ergebnis zu erzielen, sollten Sie die am besten geeignete Ressource auswählen, die sich im Betriebsbereich befindet und keine großen Transformationen erfordert.
139_039|Кроме этого, лучше избрать многоступенчатую тактику решения задачи. Сохраняя желаемый результат можно повторить решение несколько раз, стараясь найти ресурс, максимально близкий к идеальной системе. Для этого можно использовать в разной последовательности четыре основных модели решения задачи: «Условия», «Действие», «Техническое противоречие», и «Физическое противоречие».  |Außerdem ist es besser, eine mehrstufige Taktik zur Lösung des Problems zu wählen. Wenn Sie das gewünschte Ergebnis beibehalten, können Sie die Lösung mehrmals wiederholen und versuchen, eine Ressource zu finden, die dem idealen System möglichst nahe kommt. Dazu können Sie vier Hauptmodelle zur Lösung des Problems in verschiedenen Sequenzen verwenden: „Bedingungen“, „Aktionen“, „technische Widersprüche“ und „physikalische Widersprüche“. 
140_001|Разборы задач|Parsing Tasks
140_003|1. Как достать вазу со дна моря?|1. Wie bekomme ich eine Vase vom Meeresgrund?
140_005|В начале прошлого века произошла следующая история.|Zu Beginn des letzten Jahrhunderts passierte die folgende Geschichte.
140_006|Много лет тому назад у берегов Кореи затонуло судно с грузом старинной керамики. Поднять его или хотя бы достать груз не было никакой возможности, – судно лежало на глубине более 100 метров. Однако археологи с удивлением обнаружили, что в рыбацких деревнях начали появляться вазы с затонувшего судна.|Vor vielen Jahren sank ein Schiff mit einer Ladung alter Keramik an der koreanischen Küste entlang. Es gab keine Möglichkeit, es anzuheben oder zumindest die Ladung aufzunehmen - das Schiff lag in einer Tiefe von mehr als 100 Metern. Die Archäologen waren jedoch überrascht, dass Fischerdörfer entstanden auftauchende Vasen von einem versunkenen Schiff. 
140_007|На все вопросы о том, как можно достать древние вазы с такой глубины, рыбаки отвечали, что ловят их на удочку.|Auf alle Fragen, wie man die alten Vasen aus solchen Tiefen holt, antworteten die Fischer, dass sie nach ihnen fischen.
140_008|Вопрос: Как рыбаки доставали со дна моря старинные вазы?|Frage: Wie sind Fischer auf den Grund des Meeres zu alten Vasen gekommen?
